Case Number,Address,Parcel,Establishment Name,Code Number,Code Description,Case Open Date,Case Closed Date,Date Cited,Date Corrected,Code Case Status,geocoded_column
205945,"463 Massachusetts Ave, Cambridge, MA 02139",91-191,McDonald's,,,12/21/2022 12:00:00 AM,12/21/2022 12:00:00 AM,12/21/2022 12:00:00 AM,,Complete,POINT (-71.100893 42.363921)
207138,"24 Irving St, Cambridge, MA 02138",142-44,Irving House at Harvard,,,01/05/2023 12:00:00 AM,01/06/2023 12:00:00 AM,01/05/2023 12:00:00 AM,,Complete,POINT (-71.110832 42.37555)
207528,"57 Jfk St, Cambridge, MA 02138",162-54,Menya Jiro, 6-303.11 ,Intensity-Lighting,01/10/2023 12:00:00 AM,01/17/2023 12:00:00 AM,,01/17/2023 12:00:00 AM,Complete,POINT (-71.120733 42.372038)
209321,"54 Jfk St, Cambridge, MA 02138",162-73,Moge Tee,,,01/27/2023 12:00:00 AM,01/30/2023 12:00:00 AM,,,Complete,POINT (-71.120528 42.371932)
209208,"1950 Massachusetts Ave, Cambridge, MA 02140",178-118,C.M.H.A.,,,01/26/2023 12:00:00 AM,01/30/2023 12:00:00 AM,01/26/2023 12:00:00 AM,,Complete,POINT (-71.120431 42.389567)
209864,"8-1/2 Eliot St, Cambridge, MA 02138",162-17,Falafel Corner ,,,02/05/2023 12:00:00 AM,02/13/2023 12:00:00 AM,02/05/2023 12:00:00 AM,,Complete,POINT (-71.121545 42.372528)
211314,"1105 Massachusetts Ave, Cambridge, MA 02138",134-56,Zoes,7-201.11 * ,Separation – Storage,02/15/2023 12:00:00 AM,02/27/2023 12:00:00 AM,,02/24/2023 12:00:00 AM,Complete,POINT (-71.11342 42.370652)
213814,"44 Linnaean St, Cambridge, MA 02138",212-58,Dragonfly After School Program,,,03/06/2023 12:00:00 AM,03/08/2023 12:00:00 AM,03/06/2023 12:00:00 AM,,Complete,POINT (-71.124093 42.38313)
217890,,,Zinneken's,,,04/06/2023 12:00:00 AM,04/11/2023 12:00:00 AM,04/06/2023 12:00:00 AM,,Complete,
224452,,,7-Eleven 33486C,,,05/16/2023 12:00:00 AM,05/22/2023 12:00:00 AM,05/16/2023 12:00:00 AM,,Complete,
225144,,,Pavillion,,,05/23/2023 12:00:00 AM,05/24/2023 12:00:00 AM,05/23/2023 12:00:00 AM,,Complete,
226491,,,Mochinut,,,06/01/2023 12:00:00 AM,06/16/2023 12:00:00 AM,06/01/2023 12:00:00 AM,,Complete,
227609,,,Hult Student Lounge,,,06/08/2023 12:00:00 AM,07/11/2023 12:00:00 AM,06/08/2023 12:00:00 AM,,Complete,
229278,"83 Mt Auburn St, Cambridge, MA 02138",160-11,Las Palmas Restaurant,,,06/16/2023 12:00:00 AM,06/20/2023 12:00:00 AM,,,Complete,POINT (-71.119736 42.372497)
232939,,,Kendall Farmers Market,,,07/13/2023 12:00:00 AM,07/14/2023 12:00:00 AM,07/13/2023 12:00:00 AM,,Complete,
235053,,,Walgreens #17165,,,07/27/2023 12:00:00 AM,07/27/2023 12:00:00 AM,07/27/2023 12:00:00 AM,,Complete,
235578,"49 White St, Cambridge, MA 02140",179-87,Star #163,,,07/25/2023 12:00:00 AM,08/01/2023 12:00:00 AM,07/25/2023 12:00:00 AM,,Complete,POINT (-71.118305 42.389711)
237279,,,BB&N,,,06/12/2023 12:00:00 AM,08/10/2023 12:00:00 AM,06/12/2023 12:00:00 AM,,Complete,
237406,,,ID Tech Camp,,,06/20/2023 12:00:00 AM,08/10/2023 12:00:00 AM,06/20/2023 12:00:00 AM,,Complete,
237494,,,Donelly Field,,,08/10/2023 12:00:00 AM,08/11/2023 12:00:00 AM,08/10/2023 12:00:00 AM,,Complete,
239702,,,Special Events ,,,03/29/2023 12:00:00 AM,08/23/2023 12:00:00 AM,03/29/2023 12:00:00 AM,,Complete,
239995,"1350 Massachusetts Ave, Cambridge, MA 02138",160-14,Mother Juice,,,08/24/2023 12:00:00 AM,08/24/2023 12:00:00 AM,,,Complete,POINT (-71.118472 42.373011)
240965,,,Wanderlust,,,08/30/2023 12:00:00 AM,08/31/2023 12:00:00 AM,08/30/2023 12:00:00 AM,,Complete,
241642,"411 Massachusetts Ave, Cambridge, MA 02139",91-207,Muku,,,09/05/2023 12:00:00 AM,09/06/2023 12:00:00 AM,09/05/2023 12:00:00 AM,,Complete,POINT (-71.100164 42.363616)
242641,,,The Boston Garden Dispensary,,,09/12/2023 12:00:00 AM,09/13/2023 12:00:00 AM,09/12/2023 12:00:00 AM,,Complete,
243048,,,Special Events Meeting,,,09/15/2023 12:00:00 AM,09/15/2023 12:00:00 AM,09/15/2023 12:00:00 AM,,Complete,
244690,,,Nubia,,,09/26/2023 12:00:00 AM,09/28/2023 12:00:00 AM,09/26/2023 12:00:00 AM,,Complete,
247365,,,-,,,10/19/2023 12:00:00 AM,10/24/2023 12:00:00 AM,10/19/2023 12:00:00 AM,,Complete,
248052,"110 Fawcett St, Cambridge, MA 02138",267.4-247,Revolutionary Clinic,,,10/30/2023 12:00:00 AM,10/31/2023 12:00:00 AM,10/30/2023 12:00:00 AM,,Complete,POINT (-71.146486 42.392999)
201083,"74 Winthrop St, Cambridge, MA 02138",162-72,Pinocchio's Pizza, 6-501.12-.13 ,"Cleaning, Frequency and Restrictions for Floors, Walls, and Ceiling",11/01/2022 12:00:00 AM,11/29/2022 12:00:00 AM,11/01/2022 12:00:00 AM,11/09/2022 12:00:00 AM,Complete,POINT (-71.120265 42.372)
176817,"10 Dewolfe St, Cambridge, MA 02138",132-153,Radcliffe Child Care Center,6-501.111 * ,Controlling Pests,05/12/2022 12:00:00 AM,05/23/2022 12:00:00 AM,05/12/2022 12:00:00 AM,05/18/2022 12:00:00 AM,Complete,POINT (-71.11629 42.370599)
182614,"340 River St, Cambridge, MA 02139",128-72,Whole Foods Market ,5-205.11 ,Accessibility- Operation and Maintenance,06/28/2022 12:00:00 AM,07/20/2022 12:00:00 AM,,07/20/2022 12:00:00 AM,Complete,POINT (-71.114152 42.361151)
163297,"1815 Massachusetts Ave, Cambridge, MA 02140",152-17,Porter Café,3-501.16 *,"Potentially Hazardous Food, Hot and Cold Holding",02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,Complete,POINT (-71.118975 42.387136)
237491,"158 Prospect St, Cambridge, MA 02139",88-48,KOREANA RESTAURANT,3-301.11 [590.003(C)] ,"Preventing Contamination from Hands (P, Pf, C)",08/09/2023 12:00:00 AM,08/23/2023 12:00:00 AM,08/09/2023 12:00:00 AM,08/23/2023 12:00:00 AM,Complete,POINT (-71.101017 42.369115)
243427,"290 Broadway, Cambridge, MA 02139",88-69,"Violeta Montessori School, INC",,,09/18/2023 12:00:00 AM,09/18/2023 12:00:00 AM,09/18/2023 12:00:00 AM,,Complete,POINT (-71.098339 42.368165)
241086,"74 Winthrop St, Cambridge, MA 02138",162-72,Pinocchio's Pizza,4-101.19 ,Nonfood-Contact Surfaces (C),08/30/2023 12:00:00 AM,09/14/2023 12:00:00 AM,,09/06/2023 12:00:00 AM,Complete,POINT (-71.120265 42.372)
208795,"150 Western Ave, Cambridge, MA 02139",125-39,Beantown Taqueria Café,4-501.114 ,"Chemical Sanitization – Temperature, pH, Concentration and Hardness",01/24/2023 12:00:00 AM,03/01/2023 12:00:00 AM,,01/31/2023 12:00:00 AM,Complete,POINT (-71.108856 42.364799)
238270,"301 Third St, Cambridge, MA 02142",29-34,Bgood, 3-202.11,"Temperature (P, Pf)",08/15/2023 12:00:00 AM,09/28/2023 12:00:00 AM,08/15/2023 12:00:00 AM,09/11/2023 12:00:00 AM,Complete,POINT (-71.083446 42.3642)
190362,"16 Garden St, Cambridge, MA 02138",170-39,Sheraton Commander Hotel,,,08/16/2022 12:00:00 AM,08/17/2022 12:00:00 AM,08/16/2022 12:00:00 AM,,Complete,POINT (-71.12322 42.37731)
195656,"1573 Cambridge St, Cambridge, MA 02138",140-134,Youville House Assisted Living,4-601.11 *,"Equipment, Food-Contact Surfaces, and Utensils Clean",09/20/2022 12:00:00 AM,09/27/2022 12:00:00 AM,09/20/2022 12:00:00 AM,09/27/2022 12:00:00 AM,Complete,POINT (-71.106591 42.374994)
239297,"100 Cambridgeside Pl, Cambridge, MA 02141",8-89,Chiang Mai Thai,"6-301.11-.12,.20 ","Handwashing Cleanser, Availability; Hand Drying Provision; Disposable Towels, Waste Receptacle (Pf)",08/21/2023 12:00:00 AM,08/31/2023 12:00:00 AM,08/21/2023 12:00:00 AM,08/29/2023 12:00:00 AM,Complete,POINT (-71.076382 42.367154)
242295,"650 Concord Ave, Cambridge, MA 02138",266-33,Neville Place Assisted Living,3-501.13 ,Thawing (C),08/24/2023 12:00:00 AM,12/21/2023 12:00:00 AM,,09/19/2023 12:00:00 AM,Complete,POINT (-71.148709 42.388551)
186756,"187 Hampshire St, Cambridge, MA 02139",84-12,Beauty's Pizza,3-305.11-.12 ,Food Storage-Preventing Contamination and Prohibited Areas,07/25/2022 12:00:00 AM,08/01/2022 12:00:00 AM,07/25/2022 12:00:00 AM,08/01/2022 12:00:00 AM,Complete,POINT (-71.099183 42.372835)
207538,"89 Winthrop St, Cambridge, MA 02138",162-74,Grendel's Den Restaurant & Bar,3-304.13 ,"Linens and Napkins, Use Limitations",01/10/2023 12:00:00 AM,01/17/2023 12:00:00 AM,,01/17/2023 12:00:00 AM,Complete,POINT (-71.12081 42.372396)
206562,"14 Jfk St, Cambridge, MA 02138",160-69,Russell House Tavern,4-602.13 ,Non-Food Contact Surfaces Clean-Frequency,12/29/2022 12:00:00 AM,01/17/2023 12:00:00 AM,,01/09/2023 12:00:00 AM,Complete,POINT (-71.119517 42.373173)
248155,"485 Massachusetts Ave, Cambridge, MA 02139",91-87,Happy Lamb Hot Pot,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking (Pf)",10/26/2023 12:00:00 AM,11/20/2023 12:00:00 AM,10/26/2023 12:00:00 AM,11/17/2023 12:00:00 AM,Complete,POINT (-71.101293 42.364154)
222514,"500 Main St, Cambridge, MA 02142",52A-22,Koch Cafe,,,05/10/2023 12:00:00 AM,05/10/2023 12:00:00 AM,05/10/2023 12:00:00 AM,,Complete,POINT (-71.089005 42.362464)
194665,"231 Alewife Brook Pkwy, Cambridge, MA 02138",265B-28,Genki Ya,3-305.11-.12 ,Food Storage-Preventing Contamination and Prohibited Areas,09/06/2022 12:00:00 AM,11/21/2022 12:00:00 AM,09/06/2022 12:00:00 AM,09/27/2022 12:00:00 AM,Complete,POINT (-71.143598 42.389268)
193732,"55 Essex St, Cambridge, MA 02139",90-183,JFK Apartments,4-602.13 ,Non-Food Contact Surfaces Clean-Frequency,09/06/2022 12:00:00 AM,09/21/2022 12:00:00 AM,09/06/2022 12:00:00 AM,09/14/2022 12:00:00 AM,Complete,POINT (-71.101182 42.367664)
222928,"1815 Massachusetts Ave, Cambridge, MA 02140",152-51,Sapporo Ramen,6-501.11 ,"Repairing-Premises, Structures, Attachments, and Fixtures-Method",05/11/2023 12:00:00 AM,06/16/2023 12:00:00 AM,05/11/2023 12:00:00 AM,05/22/2023 12:00:00 AM,Complete,POINT (-71.118975 42.387136)
204851,"20 Acorn Park Dr, Cambridge, MA 02140",267.2-273,The Bistro,3-304.12 ,"In-Use Utensils, Between-Use Storage",12/06/2022 12:00:00 AM,01/11/2023 12:00:00 AM,12/06/2022 12:00:00 AM,12/19/2022 12:00:00 AM,Complete,POINT (-71.147316 42.397984)
180759,"878 Massachusetts Ave, Cambridge, MA 02139",119-7,TANJORE,,,06/13/2022 12:00:00 AM,07/21/2022 12:00:00 AM,06/13/2022 12:00:00 AM,,Complete,POINT (-71.107784 42.367767)
227768,"1611 Massachusetts Ave, Cambridge, MA 02138",157-26,Stoked Pizza Co.,,,04/26/2023 12:00:00 AM,06/09/2023 12:00:00 AM,04/26/2023 12:00:00 AM,,Complete,POINT (-71.119689 42.38016)
226846,"12 Gilmore St, Cambridge, MA 02139",126-174,Moore Youth Center,3-501.16 *,"Potentially Hazardous Food, Hot and Cold Holding",06/02/2023 12:00:00 AM,06/14/2023 12:00:00 AM,06/02/2023 12:00:00 AM,06/09/2023 12:00:00 AM,Complete,POINT (-71.111369 42.363977)
218799,"345 Cambridge St, Cambridge, MA 02141",23-38,Arams #2 Pizza,,,04/18/2023 12:00:00 AM,04/25/2023 12:00:00 AM,04/18/2023 12:00:00 AM,,Complete,POINT (-71.081793 42.371375)
197989,"1255 Cambridge St, Cambridge, MA 02139",83-67,Christina's ice cream ,4-204.112 ,Temperature Measuring Devices-Functionality,10/06/2022 12:00:00 AM,10/13/2022 12:00:00 AM,10/06/2022 12:00:00 AM,10/13/2022 12:00:00 AM,Complete,POINT (-71.098376 42.373507)
238118,"1436 Massachusetts Ave, Cambridge, MA 02138",169-99,C'est Bon Market & Liquors,,,08/15/2023 12:00:00 AM,08/15/2023 12:00:00 AM,,,Complete,POINT (-71.11908 42.374183)
190915,"330 Mt Auburn St, Cambridge, MA 02138",241-14,Mount Auburn Hospital - Stanton Cafe ,8-301.11 [590.012] ,"Prerequisite for Operation, Valid Permit",08/19/2022 12:00:00 AM,10/04/2022 12:00:00 AM,08/19/2022 12:00:00 AM,09/22/2022 12:00:00 AM,Complete,POINT (-71.13585 42.374614)
196667,"1629 Cambridge St, Cambridge, MA 02138",140-148,Darwin's Ltd, 6-501.14 ,"Cleaning Ventilation System, Nuisance and Discharge Prohibition",09/27/2022 12:00:00 AM,10/17/2022 12:00:00 AM,,10/17/2022 12:00:00 AM,Complete,POINT (-71.109349 42.374922)
200841,"101 Kinnaird St, Cambridge, MA 02139",122-199,MLK Preschool and Afterschool Programs, 5-103.11-.12 * ,Water Capacity and Pressure-Quantity and Availability,10/31/2022 12:00:00 AM,11/21/2022 12:00:00 AM,10/31/2022 12:00:00 AM,11/07/2022 12:00:00 AM,Complete,POINT (-71.11263 42.367376)
238787,"24 Holyoke St, Cambridge, MA 02138",160-76,Bosso Ramen Tavern,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking (Pf)",08/17/2023 12:00:00 AM,08/24/2023 12:00:00 AM,08/17/2023 12:00:00 AM,08/24/2023 12:00:00 AM,Complete,POINT (-71.118394 42.372165)
218390,"208 Concord Ave, Cambridge, MA 02138",230-71,Hi-Rise Bread Company,6-501.111 * ,Controlling Pests,04/13/2023 12:00:00 AM,01/05/2024 12:00:00 AM,04/13/2023 12:00:00 AM,05/01/2023 12:00:00 AM,Complete,POINT (-71.131356 42.382508)
192115,"1728 Massachusetts Ave, Cambridge, MA 02138",175-75,Baraka Cafe,,,08/24/2022 12:00:00 AM,08/25/2022 12:00:00 AM,08/24/2022 12:00:00 AM,,Complete,POINT (-71.119664 42.38414)
258978,"1121 Cambridge St, Cambridge, MA 02139",82-57,Clube Desportivo Failense,6-101.11 ,Surface Characteristics-Indoor Areas (C),02/15/2024 12:00:00 AM,03/07/2024 12:00:00 AM,02/15/2024 12:00:00 AM,03/01/2024 12:00:00 AM,Complete,POINT (-71.095861 42.373189)
176519,"2362 Massachusetts Ave, Cambridge, MA 02140",192-39,L A MARKET,5-205.11 ,Accessibility- Operation and Maintenance,05/19/2022 12:00:00 AM,02/10/2023 12:00:00 AM,05/19/2022 12:00:00 AM,06/22/2022 12:00:00 AM,Complete,POINT (-71.129304 42.396355)
217924,"699 Mt Auburn St, Cambridge, MA 02138",252-172,Star #2565,8-301.11 [590.012] ,"Prerequisite for Operation, Valid Permit",04/10/2023 12:00:00 AM,04/20/2023 12:00:00 AM,04/10/2023 12:00:00 AM,04/19/2023 12:00:00 AM,Complete,POINT (-71.148745 42.375065)
233927,"65 Jfk St, Cambridge, MA 02138",162-66,Dunkin Donuts,,,07/20/2023 12:00:00 AM,07/20/2023 12:00:00 AM,07/20/2023 12:00:00 AM,,Complete,POINT (-71.121059 42.371685)
259308,"581 Massachusetts Ave, Cambridge, MA 02139",90-133,H Mart,3-202.110,"Juice Treated-Commercially Processed (P, Pf)",02/21/2024 12:00:00 AM,03/01/2024 12:00:00 AM,02/21/2024 12:00:00 AM,03/01/2024 12:00:00 AM,Complete,POINT (-71.102735 42.365015)
239772,"17 Central Sq, Cambridge, MA 02139",105-82,India Pavilion Restaurant,4-204.120 ,"Equipment Compartments, Drainage (C)",08/21/2023 12:00:00 AM,08/31/2023 12:00:00 AM,08/21/2023 12:00:00 AM,08/30/2023 12:00:00 AM,Complete,POINT (-71.10476 42.365375)
206563,"1815 Massachusetts Ave, Cambridge, MA 02140",152-17,Ittoku,3-501.13 ,Thawing,12/22/2022 12:00:00 AM,03/23/2023 12:00:00 AM,,02/02/2023 12:00:00 AM,Complete,POINT (-71.118975 42.387136)
220900,"364 Broadway, Cambridge, MA 02139",108-54,barismo, 5-202.11 * ,Approved System and Cleanable Fixtures,05/01/2023 12:00:00 AM,05/22/2023 12:00:00 AM,,05/22/2023 12:00:00 AM,Complete,POINT (-71.104367 42.37054)
250662,"9 White St, Cambridge, MA 02140",179-87,Soup Shack,4-601.13,Nonfood Contact Surfaces (C),11/28/2023 12:00:00 AM,03/07/2024 12:00:00 AM,11/28/2023 12:00:00 AM,03/05/2024 12:00:00 AM,Complete,POINT (-71.119332 42.389354)
245619,"10 Acorn Park Dr, Cambridge, MA 02140",267.2-264,AC Hotel Boston Cambridge,6-501.12 ,"Cleaning, Frequency and Restrictions (C)",09/13/2023 12:00:00 AM,12/18/2023 12:00:00 AM,09/13/2023 12:00:00 AM,11/28/2023 12:00:00 AM,Complete,POINT (-71.147295 42.398658)
193251,"465 Cambridge St, Cambridge, MA 02141",23-17,Dumpling Xuan, 6-501.12-.13 ,"Cleaning, Frequency and Restrictions for Floors, Walls, and Ceiling",08/31/2022 12:00:00 AM,09/16/2022 12:00:00 AM,08/31/2022 12:00:00 AM,09/12/2022 12:00:00 AM,Complete,POINT (-71.083984 42.371655)
170047,"1815 Massachusetts Ave, Cambridge, MA 02140",152-51,Tampopo,3-304.14 ,"Wiping Cloths, Use Limitation",04/07/2022 12:00:00 AM,06/06/2022 12:00:00 AM,04/07/2022 12:00:00 AM,06/06/2022 12:00:00 AM,Complete,POINT (-71.118975 42.387136)
233436,"350 Water St, Cambridge, MA 02141",,Sodexo @ Sanofi C-Store,,,07/18/2023 12:00:00 AM,07/19/2023 12:00:00 AM,07/18/2023 12:00:00 AM,,Complete,POINT (-71.07815 42.372499)
207061,"468 Broadway, Cambridge, MA 02138",136-15,Broadway Marketplace,3-501.16 *,"Potentially Hazardous Food, Hot and Cold Holding",01/05/2023 12:00:00 AM,01/26/2023 12:00:00 AM,01/05/2023 12:00:00 AM,01/12/2023 12:00:00 AM,Complete,POINT (-71.113066 42.37396)
191709,"168 Hampshire St, Cambridge, MA 02139",87-37,Brooklyn Bagel Factory,,,08/23/2022 12:00:00 AM,08/30/2022 12:00:00 AM,08/23/2022 12:00:00 AM,,Complete,POINT (-71.098955 42.372042)
230363,"239 Massachusetts Ave, Cambridge, MA 02139",70-51,Cambridge Pizza,3-501.12 ,"Potentially Hazardous Food, Slacking",06/21/2023 12:00:00 AM,07/31/2023 12:00:00 AM,06/21/2023 12:00:00 AM,07/10/2023 12:00:00 AM,Complete,POINT (-71.097144 42.36168)
165225,"215 Alewife Brook Pkwy, Cambridge, MA 02138",265B-26,CVS Pharmacy # 1022,,,02/28/2022 12:00:00 AM,03/15/2022 12:00:00 AM,02/28/2022 12:00:00 AM,,Complete,POINT (-71.14351 42.389791)
257541,"402 Massachusetts Ave, Cambridge, MA 02139",92-117,The Salvation Army Our Place Day Care,,,02/06/2024 12:00:00 AM,02/07/2024 12:00:00 AM,02/06/2024 12:00:00 AM,,Complete,POINT (-71.100283 42.363131)
207784,"221 Concord Ave, Cambridge, MA 02138",229-165,La Royal,6-501.111 * ,Controlling Pests,01/10/2023 12:00:00 AM,03/15/2023 12:00:00 AM,01/10/2023 12:00:00 AM,02/09/2023 12:00:00 AM,Complete,POINT (-71.131593 42.382777)
197554,"50 Jfk St, Cambridge, MA 02138",162-72,NINE TASTES, 6-501.18 ,Cleaning of Plumbing Fixtures-Maintaining Handwashing Facilities,10/04/2022 12:00:00 AM,10/12/2022 12:00:00 AM,,10/05/2022 12:00:00 AM,Complete,POINT (-71.120456 42.372051)
188283,"67 Smith Pl, Cambridge, MA 02138",267C-95,Formaggio Kitchen,8-301.11 [590.012] ,"Prerequisite for Operation, Valid Permit",08/03/2022 12:00:00 AM,08/25/2022 12:00:00 AM,08/03/2022 12:00:00 AM,08/15/2022 12:00:00 AM,Complete,POINT (-71.15244 42.393738)
188090,"2261 Massachusetts Ave, Cambridge, MA 02140",182-90,Yummy Thai,3-305.11-.12 ,Food Storage-Preventing Contamination and Prohibited Areas,08/02/2022 12:00:00 AM,09/13/2022 12:00:00 AM,08/02/2022 12:00:00 AM,08/16/2022 12:00:00 AM,Complete,POINT (-71.12668 42.394467)
202586,"3 Bow St, Cambridge, MA 02138",133-55,CEDC,3-501.17,"Ready-to-Eat, Time/Temperature Control for Safety Food, Date Marking. ",11/15/2022 12:00:00 AM,11/21/2022 12:00:00 AM,,11/21/2022 12:00:00 AM,Complete,POINT (-71.115756 42.371982)
202592,"1238 Cambridge St, Cambridge, MA 02139",84-87,All Star Pizza Bar,6-501.111 * ,Controlling Pests,11/14/2022 12:00:00 AM,11/29/2022 12:00:00 AM,11/14/2022 12:00:00 AM,11/29/2022 12:00:00 AM,Complete,POINT (-71.098097 42.373291)
228531,"2382 Massachusetts Ave, Cambridge, MA 02140",191-103,Qing Dao Garden,4-501.12 ,Cutting Surfaces,06/12/2023 12:00:00 AM,02/13/2024 12:00:00 AM,,06/22/2023 12:00:00 AM,Complete,POINT (-71.129868 42.39686)
208949,"66 Sherman St, Cambridge, MA 02140",203B-57,Cadbury Commons at Cambridge,3-305.11-.12 ,Food Storage-Preventing Contamination and Prohibited Areas,01/25/2023 12:00:00 AM,02/01/2023 12:00:00 AM,01/25/2023 12:00:00 AM,02/01/2023 12:00:00 AM,Complete,POINT (-71.131557 42.387519)
220792,"2269 Massachusetts Ave, Cambridge, MA 02140",182-8,Cafe Barada,4-602.13 ,Non-Food Contact Surfaces Clean-Frequency,04/27/2023 12:00:00 AM,10/18/2023 12:00:00 AM,04/27/2023 12:00:00 AM,07/05/2023 12:00:00 AM,Complete,POINT (-71.126962 42.394762)
226991,"1271 Cambridge St, Cambridge, MA 02139",83-67,Bom Dough,3-304.12 ,"In-Use Utensils, Between-Use Storage",06/05/2023 12:00:00 AM,06/12/2023 12:00:00 AM,,06/12/2023 12:00:00 AM,Complete,POINT (-71.098697 42.373558)
